backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,uniform,23000178,1,Trunc bitonic end-to-end time (ms),4.451,Trunc bitonic end-to-end time (ms),4.451,Trunc bitonic algorithmic time (ms),4.451,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,trimodal,23000177,1,Trunc bitonic end-to-end time (ms),4.423,Trunc bitonic end-to-end time (ms),4.423,Trunc bitonic algorithmic time (ms),4.423,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,trimodal,23000178,1,Trunc bitonic end-to-end time (ms),4.449,Trunc bitonic end-to-end time (ms),4.449,Trunc bitonic algorithmic time (ms),4.449,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,adversarial,23000177,1,Trunc bitonic end-to-end time (ms),4.397,Trunc bitonic end-to-end time (ms),4.397,Trunc bitonic algorithmic time (ms),4.397,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,adversarial,23000178,1,Trunc bitonic end-to-end time (ms),4.498,Trunc bitonic end-to-end time (ms),4.498,Trunc bitonic algorithmic time (ms),4.498,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,sorted,23000177,1,Trunc bitonic end-to-end time (ms),4.438,Trunc bitonic end-to-end time (ms),4.438,Trunc bitonic algorithmic time (ms),4.438,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,sorted,23000178,1,Trunc bitonic end-to-end time (ms),4.366,Trunc bitonic end-to-end time (ms),4.366,Trunc bitonic algorithmic time (ms),4.366,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,reverse,23000177,1,Trunc bitonic end-to-end time (ms),4.443,Trunc bitonic end-to-end time (ms),4.443,Trunc bitonic algorithmic time (ms),4.443,234880864,exact,46137324,exact
cpu,q23_k8_max,PASS,ok,float,bitonic,max,8,8388608,reverse,23000178,1,Trunc bitonic end-to-end time (ms),4.429,Trunc bitonic end-to-end time (ms),4.429,Trunc bitonic algorithmic time (ms),4.429,234880864,exact,46137324,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,uniform,23131241,1,Trunc bitonic end-to-end time (ms),22.092,Trunc bitonic end-to-end time (ms),22.092,Trunc bitonic algorithmic time (ms),22.092,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,uniform,23131242,1,Trunc bitonic end-to-end time (ms),21.948,Trunc bitonic end-to-end time (ms),21.948,Trunc bitonic algorithmic time (ms),21.948,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,trimodal,23131241,1,Trunc bitonic end-to-end time (ms),21.978,Trunc bitonic end-to-end time (ms),21.978,Trunc bitonic algorithmic time (ms),21.978,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,trimodal,23131242,1,Trunc bitonic end-to-end time (ms),22.016,Trunc bitonic end-to-end time (ms),22.016,Trunc bitonic algorithmic time (ms),22.016,232259584,exact,720175104,exact
cpu,q23_k131072_max,PASS,ok,float,bitonic,max,131072,8388608,adversarial,23131241,1,Trunc bitonic end-to-end time (ms),21.996,Trunc bitonic end-to-end time (ms),21.996,Trunc bitonic algorithmic time (ms),21.996,232259584,exact,720175104,exact
