backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q18_k256_max,PASS,ok,int,bitonic,max,256,262144,uniform,18000410,1,Trunc bitonic end-to-end time (ms),0.432,Trunc bitonic end-to-end time (ms),0.432,Trunc bitonic algorithmic time (ms),0.432,7334912,exact,6028032,exact
cpu,q18_k4096_max,PASS,ok,int,bitonic,max,4096,262144,uniform,18004250,1,Trunc bitonic end-to-end time (ms),0.71,Trunc bitonic end-to-end time (ms),0.71,Trunc bitonic algorithmic time (ms),0.71,7258112,exact,12029952,exact
cpu,q18_k131072_max,PASS,ok,int,bitonic,max,131072,262144,uniform,18131226,1,Trunc bitonic end-to-end time (ms),2.309,Trunc bitonic end-to-end time (ms),2.309,Trunc bitonic algorithmic time (ms),2.309,4718592,exact,21299200,exact
cpu,q19_k8_max,PASS,ok,int,bitonic,max,8,524288,uniform,19000165,1,Trunc bitonic end-to-end time (ms),0.156,Trunc bitonic end-to-end time (ms),0.156,Trunc bitonic algorithmic time (ms),0.156,14679904,exact,2883564,exact
cpu,q19_k256_max,PASS,ok,int,bitonic,max,256,524288,uniform,19000413,1,Trunc bitonic end-to-end time (ms),0.741,Trunc bitonic end-to-end time (ms),0.741,Trunc bitonic algorithmic time (ms),0.741,14674944,exact,12057344,exact
cpu,q19_k4096_max,PASS,ok,int,bitonic,max,4096,524288,uniform,19004253,1,Trunc bitonic end-to-end time (ms),1.248,Trunc bitonic end-to-end time (ms),1.248,Trunc bitonic algorithmic time (ms),1.248,14598144,exact,24088576,exact
cpu,q19_k131072_max,PASS,ok,int,bitonic,max,131072,524288,uniform,19131229,1,Trunc bitonic end-to-end time (ms),2.738,Trunc bitonic end-to-end time (ms),2.738,Trunc bitonic algorithmic time (ms),2.738,12058624,exact,43843584,exact
cpu,q20_k8_max,PASS,ok,int,bitonic,max,8,1048576,uniform,20000168,1,Trunc bitonic end-to-end time (ms),0.272,Trunc bitonic end-to-end time (ms),0.272,Trunc bitonic algorithmic time (ms),0.272,29359968,exact,5767148,exact
cpu,q20_k256_max,PASS,ok,int,bitonic,max,256,1048576,uniform,20000416,1,Trunc bitonic end-to-end time (ms),1.231,Trunc bitonic end-to-end time (ms),1.231,Trunc bitonic algorithmic time (ms),1.231,29355008,exact,24115968,exact
cpu,q20_k4096_max,PASS,ok,int,bitonic,max,4096,1048576,uniform,20004256,1,Trunc bitonic end-to-end time (ms),2.433,Trunc bitonic end-to-end time (ms),2.433,Trunc bitonic algorithmic time (ms),2.433,29278208,exact,48205824,exact
cpu,q20_k131072_max,PASS,ok,int,bitonic,max,131072,1048576,uniform,20131232,1,Trunc bitonic end-to-end time (ms),4.544,Trunc bitonic end-to-end time (ms),4.544,Trunc bitonic algorithmic time (ms),4.544,26738688,exact,88932352,exact
cpu,q21_k8_max,PASS,ok,int,bitonic,max,8,2097152,uniform,21000171,1,Trunc bitonic end-to-end time (ms),0.514,Trunc bitonic end-to-end time (ms),0.514,Trunc bitonic algorithmic time (ms),0.514,58720096,exact,11534316,exact
cpu,q21_k256_max,PASS,ok,int,bitonic,max,256,2097152,uniform,21000419,1,Trunc bitonic end-to-end time (ms),1.724,Trunc bitonic end-to-end time (ms),1.724,Trunc bitonic algorithmic time (ms),1.724,58715136,exact,48233216,exact
cpu,q21_k4096_max,PASS,ok,int,bitonic,max,4096,2097152,uniform,21004259,1,Trunc bitonic end-to-end time (ms),2.802,Trunc bitonic end-to-end time (ms),2.802,Trunc bitonic algorithmic time (ms),2.802,58638336,exact,96440320,exact
cpu,q21_k131072_max,PASS,ok,int,bitonic,max,131072,2097152,uniform,21131235,1,Trunc bitonic end-to-end time (ms),5.802,Trunc bitonic end-to-end time (ms),5.802,Trunc bitonic algorithmic time (ms),5.802,56098816,exact,179109888,exact
cpu,q22_k8_max,PASS,ok,int,bitonic,max,8,4194304,uniform,22000174,1,Trunc bitonic end-to-end time (ms),1.061,Trunc bitonic end-to-end time (ms),1.061,Trunc bitonic algorithmic time (ms),1.061,117440352,exact,23068652,exact
cpu,q22_k256_max,PASS,ok,int,bitonic,max,256,4194304,uniform,22000422,1,Trunc bitonic end-to-end time (ms),3.596,Trunc bitonic end-to-end time (ms),3.596,Trunc bitonic algorithmic time (ms),3.596,117435392,exact,96467712,exact
cpu,q22_k4096_max,PASS,ok,int,bitonic,max,4096,4194304,uniform,22004262,1,Trunc bitonic end-to-end time (ms),6.092,Trunc bitonic end-to-end time (ms),6.092,Trunc bitonic algorithmic time (ms),6.092,117358592,exact,192909312,exact
cpu,q22_k131072_max,PASS,ok,int,bitonic,max,131072,4194304,uniform,22131238,1,Trunc bitonic end-to-end time (ms),10.159,Trunc bitonic end-to-end time (ms),10.159,Trunc bitonic algorithmic time (ms),10.159,114819072,exact,359464960,exact
cpu,q23_k8_max,PASS,ok,int,bitonic,max,8,8388608,uniform,23000177,1,Trunc bitonic end-to-end time (ms),3.406,Trunc bitonic end-to-end time (ms),3.406,Trunc bitonic algorithmic time (ms),3.406,234880864,exact,46137324,exact
cpu,q23_k256_max,PASS,ok,int,bitonic,max,256,8388608,uniform,23000425,1,Trunc bitonic end-to-end time (ms),8.307,Trunc bitonic end-to-end time (ms),8.307,Trunc bitonic algorithmic time (ms),8.307,234875904,exact,192936704,exact
cpu,q23_k4096_max,PASS,ok,int,bitonic,max,4096,8388608,uniform,23004265,1,Trunc bitonic end-to-end time (ms),12.852,Trunc bitonic end-to-end time (ms),12.852,Trunc bitonic algorithmic time (ms),12.852,234799104,exact,385847296,exact
cpu,q23_k131072_max,PASS,ok,int,bitonic,max,131072,8388608,uniform,23131241,1,Trunc bitonic end-to-end time (ms),22.749,Trunc bitonic end-to-end time (ms),22.749,Trunc bitonic algorithmic time (ms),22.749,232259584,exact,720175104,exact
cpu,q24_k8_max,PASS,ok,int,bitonic,max,8,16777216,uniform,24000180,1,Trunc bitonic end-to-end time (ms),8.009,Trunc bitonic end-to-end time (ms),8.009,Trunc bitonic algorithmic time (ms),8.009,469761888,exact,92274668,exact
cpu,q24_k256_max,PASS,ok,int,bitonic,max,256,16777216,uniform,24000428,1,Trunc bitonic end-to-end time (ms),19.518,Trunc bitonic end-to-end time (ms),19.518,Trunc bitonic algorithmic time (ms),19.518,469756928,exact,385874688,exact
cpu,q24_k4096_max,PASS,ok,int,bitonic,max,4096,16777216,uniform,24004268,1,Trunc bitonic end-to-end time (ms),26.374,Trunc bitonic end-to-end time (ms),26.374,Trunc bitonic algorithmic time (ms),26.374,469680128,exact,771723264,exact
cpu,q24_k131072_max,PASS,ok,int,bitonic,max,131072,16777216,uniform,24131244,1,Trunc bitonic end-to-end time (ms),43.334,Trunc bitonic end-to-end time (ms),43.334,Trunc bitonic algorithmic time (ms),43.334,467140608,exact,1441595392,exact
cpu,q03_k8_max,PASS,ok,int,map_reduce,max,8,8,uniform,3000117,1,Map-reduce top-k end-to-end time (ms),0.022,Map-reduce top-k end-to-end time (ms),0.022,Map-reduce top-k algorithmic time (ms),0.022,96,exact,8,lower-bound
cpu,q04_k8_max,PASS,ok,int,map_reduce,max,8,16,uniform,4000120,1,Map-reduce top-k end-to-end time (ms),0.023,Map-reduce top-k end-to-end time (ms),0.023,Map-reduce top-k algorithmic time (ms),0.023,128,exact,16,lower-bound
