backend,case_name,status,reason,dtype,algorithm,mode,k,n,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q24_k131072_max,PASS,ok,double,bitonic,max,131072,16777216,Trunc bitonic end-to-end time (ms),108.248,Trunc bitonic end-to-end time (ms),108.248,Trunc bitonic algorithmic time (ms),108.248,1737490432,exact,1441595392,exact
cpu,q03_k8_max,PASS,ok,double,map_reduce,max,8,8,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,192,exact,8,lower-bound
cpu,q04_k8_max,PASS,ok,double,map_reduce,max,8,16,Map-reduce top-k end-to-end time (ms),0.075,Map-reduce top-k end-to-end time (ms),0.075,Map-reduce top-k algorithmic time (ms),0.075,256,exact,16,lower-bound
cpu,q05_k8_max,PASS,ok,double,map_reduce,max,8,32,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,384,exact,32,lower-bound
cpu,q06_k8_max,PASS,ok,double,map_reduce,max,8,64,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k algorithmic time (ms),0.049,640,exact,64,lower-bound
cpu,q07_k8_max,PASS,ok,double,map_reduce,max,8,128,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k algorithmic time (ms),0.049,1152,exact,128,lower-bound
cpu,q08_k8_max,PASS,ok,double,map_reduce,max,8,256,Map-reduce top-k end-to-end time (ms),0.05,Map-reduce top-k end-to-end time (ms),0.05,Map-reduce top-k algorithmic time (ms),0.05,2176,exact,256,lower-bound
cpu,q08_k256_max,PASS,ok,double,map_reduce,max,256,256,Map-reduce top-k end-to-end time (ms),0.05,Map-reduce top-k end-to-end time (ms),0.05,Map-reduce top-k algorithmic time (ms),0.05,6144,exact,256,lower-bound
cpu,q09_k8_max,PASS,ok,double,map_reduce,max,8,512,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,4224,exact,512,lower-bound
cpu,q09_k256_max,PASS,ok,double,map_reduce,max,256,512,Map-reduce top-k end-to-end time (ms),0.054,Map-reduce top-k end-to-end time (ms),0.054,Map-reduce top-k algorithmic time (ms),0.054,8192,exact,512,lower-bound
cpu,q10_k8_max,PASS,ok,double,map_reduce,max,8,1024,Map-reduce top-k end-to-end time (ms),0.046,Map-reduce top-k end-to-end time (ms),0.046,Map-reduce top-k algorithmic time (ms),0.046,8320,exact,1024,lower-bound
cpu,q10_k256_max,PASS,ok,double,map_reduce,max,256,1024,Map-reduce top-k end-to-end time (ms),0.058,Map-reduce top-k end-to-end time (ms),0.058,Map-reduce top-k algorithmic time (ms),0.058,12288,exact,1024,lower-bound
cpu,q11_k8_max,PASS,ok,double,map_reduce,max,8,2048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k end-to-end time (ms),0.048,Map-reduce top-k algorithmic time (ms),0.048,16512,exact,2048,lower-bound
cpu,q11_k256_max,PASS,ok,double,map_reduce,max,256,2048,Map-reduce top-k end-to-end time (ms),0.059,Map-reduce top-k end-to-end time (ms),0.059,Map-reduce top-k algorithmic time (ms),0.059,20480,exact,2048,lower-bound
