backend,kernel,ops_per_elem,elements,bytes_moved,ops,ms_mean,ms_stdev,ms_min,gbytes_per_s,gops_per_s,operational_intensity,joules_per_iter
gpu,h2d_pageable,0,2097152,8388608,0,0.618151,0.003533,0.598431,14.0177,0,0,0.030951
gpu,h2d_pinned,0,2097152,8388608,0,0.635674,0.000732,0.634858,13.2134,0,0,0.032737
gpu,d2h_pageable,0,2097152,8388608,0,0.693183,0.003309,0.688969,12.1756,0,0,0.039703
gpu,d2h_pinned,0,2097152,8388608,0,0.634409,0.002021,0.632814,13.256,0,0,0.034495
gpu,h2d_pageable,0,4194304,16777216,0,1.21971,0.00582,1.195257,14.0365,0,0,0.068417
gpu,h2d_pinned,0,4194304,16777216,0,1.2162,0.001204,1.215044,13.8079,0,0,0.064554
gpu,d2h_pageable,0,4194304,16777216,0,1.281674,0.003569,1.277781,13.13,0,0,0.068858
gpu,d2h_pinned,0,4194304,16777216,0,1.21244,0.002001,1.211588,13.8473,0,0,0.048367
gpu,h2d_pageable,0,8388608,33554432,0,2.40122,0.006937,2.371799,14.1472,0,0,0.103462
gpu,h2d_pinned,0,8388608,33554432,0,2.376255,0.000831,2.375346,14.1261,0,0,0.098515
gpu,d2h_pageable,0,8388608,33554432,0,2.464974,0.00559,2.460124,13.6393,0,0,0.106655
gpu,d2h_pinned,0,8388608,33554432,0,2.36965,0.002715,2.368031,14.1698,0,0,0.086019
gpu,h2d_pageable,0,16777216,67108864,0,4.799284,0.026111,4.768053,14.0747,0,0,0.183472
gpu,h2d_pinned,0,16777216,67108864,0,4.703714,0.012394,4.695648,14.2917,0,0,0.18322
gpu,d2h_pageable,0,16777216,67108864,0,4.84556,0.022917,4.823066,13.9142,0,0,0.212942
gpu,d2h_pinned,0,16777216,67108864,0,4.712862,0.01483,4.69191,14.3031,0,0,0.193032
gpu,h2d_pageable,0,33554432,134217728,0,9.510723,0.016768,9.483037,14.1535,0,0,0.413979
gpu,h2d_pinned,0,33554432,134217728,0,9.368941,0.0172,9.352884,14.3504,0,0,0.386968
gpu,d2h_pageable,0,33554432,134217728,0,9.609009,0.141424,9.551055,14.0527,0,0,0.419796
gpu,d2h_pinned,0,33554432,134217728,0,9.33679,0.01474,9.32397,14.3949,0,0,0.384633
gpu,h2d_pageable,0,67108864,268435456,0,18.961016,0.115848,18.915781,14.1911,0,0,0.8292
gpu,h2d_pinned,0,67108864,268435456,0,18.648055,0.016913,18.622863,14.4143,0,0,0.776107
gpu,d2h_pageable,0,67108864,268435456,0,19.034252,0.009415,19.012031,14.1192,0,0,0.825402
gpu,d2h_pinned,0,67108864,268435456,0,18.587352,0.014565,18.561588,14.4619,0,0,0.772312
gpu,latency_launch,0,1,0,0,0.055175,0.001538,0.054161,0,0,0,0.000276
npu,read,0,67108864,268435456,67108864,5.098013,0.232641,4.973538,53.9727,13.4932,0.25,0.079454
npu,copy,0,67108864,536870912,0,13.16904,0.199999,12.944076,41.4762,0,0,0.171902
npu,stage_h2d,0,67108864,268435456,0,2.571481,0.010912,2.562966,104.7363,0,0,0.028618
npu,stage_d2h,0,67108864,268435456,0,2.577361,0.019184,2.562766,104.7444,0,0,0.027875
npu,cmp,0,67108864,268435456,0,5.07352,0.040964,5.026327,53.4059,0,0,0.076753
npu,cmp,1,67108864,268435456,33554432,7.030487,0.101722,6.938666,38.6869,4.8359,0.125,0.09718
npu,cmp,2,67108864,268435456,67108864,10.974594,0.016402,10.944763,24.5264,6.1316,0.25,0.129909
npu,cmp,4,67108864,268435456,134217728,13.606024,0.031031,13.544108,19.8194,9.9097,0.5,0.159996
npu,cmp,8,67108864,268435456,268435456,16.06806,0.0216,16.025943,16.7501,16.7501,1,0.177979
npu,cmp,16,67108864,268435456,536870912,21.080223,0.261395,20.991536,12.7878,25.5756,2,0.227152
npu,cmp,32,67108864,268435456,1073741824,31.042289,0.027247,30.993154,8.6611,34.6445,4,0.275238
npu,cmp,64,67108864,268435456,2147483648,51.148799,0.179613,51.079998,5.2552,42.0416,8,0.420664
npu,cmp,128,67108864,268435456,4294967296,91.279125,0.188692,91.205647,2.9432,47.091,16,0.727448
npu,cmp,256,67108864,268435456,8589934592,171.506366,0.040473,171.446665,1.5657,50.1027,32,1.342571
npu,cache_read,0,8192,268435456,0,4.612235,0.050809,4.494732,59.7222,0,0,0.030973
npu,cache_read,0,16384,268435456,0,4.429,0.033385,4.375089,61.3554,0,0,0.0326
npu,cache_read,0,32768,268435456,0,4.43874,0.040277,4.391228,61.1299,0,0,0.032975
npu,cache_read,0,65536,268435456,0,4.451994,0.033882,4.399835,61.0103,0,0,0.031962
npu,cache_read,0,131072,268435456,0,4.551565,0.036274,4.491246,59.7686,0,0,0.034222
