backend,case_name,status,reason,dtype,algorithm,mode,k,n,dist,seed,rep,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q12_k4096_max,PASS,ok,float,map_reduce,max,4096,4096,uniform,12004232,1,Map-reduce top-k end-to-end time (ms),0.095,Map-reduce top-k end-to-end time (ms),0.095,Map-reduce top-k algorithmic time (ms),0.095,49152,exact,4096,lower-bound
cpu,q13_k8_max,PASS,ok,float,map_reduce,max,8,8192,uniform,13000147,1,Map-reduce top-k end-to-end time (ms),0.062,Map-reduce top-k end-to-end time (ms),0.062,Map-reduce top-k algorithmic time (ms),0.062,32832,exact,8192,lower-bound
cpu,q13_k256_max,PASS,ok,float,map_reduce,max,256,8192,uniform,13000395,1,Map-reduce top-k end-to-end time (ms),0.079,Map-reduce top-k end-to-end time (ms),0.079,Map-reduce top-k algorithmic time (ms),0.079,34816,exact,8192,lower-bound
cpu,q13_k4096_max,PASS,ok,float,map_reduce,max,4096,8192,uniform,13004235,1,Map-reduce top-k end-to-end time (ms),0.497,Map-reduce top-k end-to-end time (ms),0.497,Map-reduce top-k algorithmic time (ms),0.497,65536,exact,8192,lower-bound
cpu,q14_k8_max,PASS,ok,float,map_reduce,max,8,16384,uniform,14000150,1,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k end-to-end time (ms),0.049,Map-reduce top-k algorithmic time (ms),0.049,65600,exact,16384,lower-bound
cpu,q14_k256_max,PASS,ok,float,map_reduce,max,256,16384,uniform,14000398,1,Map-reduce top-k end-to-end time (ms),0.096,Map-reduce top-k end-to-end time (ms),0.096,Map-reduce top-k algorithmic time (ms),0.096,67584,exact,16384,lower-bound
cpu,q14_k4096_max,PASS,ok,float,map_reduce,max,4096,16384,uniform,14004238,1,Map-reduce top-k end-to-end time (ms),0.756,Map-reduce top-k end-to-end time (ms),0.756,Map-reduce top-k algorithmic time (ms),0.756,98304,exact,16384,lower-bound
cpu,q15_k8_max,PASS,ok,float,map_reduce,max,8,32768,uniform,15000153,1,Map-reduce top-k end-to-end time (ms),0.064,Map-reduce top-k end-to-end time (ms),0.064,Map-reduce top-k algorithmic time (ms),0.064,131136,exact,32768,lower-bound
cpu,q15_k256_max,PASS,ok,float,map_reduce,max,256,32768,uniform,15000401,1,Map-reduce top-k end-to-end time (ms),0.071,Map-reduce top-k end-to-end time (ms),0.071,Map-reduce top-k algorithmic time (ms),0.071,133120,exact,32768,lower-bound
cpu,q15_k4096_max,PASS,ok,float,map_reduce,max,4096,32768,uniform,15004241,1,Map-reduce top-k end-to-end time (ms),0.935,Map-reduce top-k end-to-end time (ms),0.935,Map-reduce top-k algorithmic time (ms),0.935,163840,exact,32768,lower-bound
cpu,q16_k8_max,PASS,ok,float,map_reduce,max,8,65536,uniform,16000156,1,Map-reduce top-k end-to-end time (ms),0.065,Map-reduce top-k end-to-end time (ms),0.065,Map-reduce top-k algorithmic time (ms),0.065,262208,exact,65536,lower-bound
cpu,q16_k256_max,PASS,ok,float,map_reduce,max,256,65536,uniform,16000404,1,Map-reduce top-k end-to-end time (ms),0.058,Map-reduce top-k end-to-end time (ms),0.058,Map-reduce top-k algorithmic time (ms),0.058,264192,exact,65536,lower-bound
cpu,q16_k4096_max,PASS,ok,float,map_reduce,max,4096,65536,uniform,16004244,1,Map-reduce top-k end-to-end time (ms),1.206,Map-reduce top-k end-to-end time (ms),1.206,Map-reduce top-k algorithmic time (ms),1.206,294912,exact,65536,lower-bound
cpu,q17_k8_max,PASS,ok,float,map_reduce,max,8,131072,uniform,17000159,1,Map-reduce top-k end-to-end time (ms),0.055,Map-reduce top-k end-to-end time (ms),0.055,Map-reduce top-k algorithmic time (ms),0.055,524352,exact,131072,lower-bound
