source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,float,bitonic,max,131072,524288,uniform,19131229,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k131072_max_uniform_s19131229_rep3_rapl.txt,0.193942,3.793795,19.561462,5.421215,2.742392,14.140247,0,rapl:package+core,2.705121,2.705121,0.126521,0.126521,2.01922345699,2.01922345699,2.96823,0.135223,0.162131,0.154258,,,,0.040593
rapl,cpu,float,bitonic,max,256,524288,uniform,19000413,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k256_max_uniform_s19000413_rep1_rapl.txt,0.040521,1.015099,25.050946,5.421215,0.795424,19.629731,0,rapl:package+core,0.739524,0.739524,0.021988,0.021988,0.62032232458,0.62032232458,0.812519,0.026181,0.106775,0.10513,,,,0.040593
rapl,cpu,float,bitonic,max,256,524288,uniform,19000413,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k256_max_uniform_s19000413_rep2_rapl.txt,0.043319,1.027595,23.721323,5.421215,0.792751,18.300108,0,rapl:package+core,0.620071,0.620071,0.022263,0.022263,0.499378490455,0.499378490455,0.791768,0.026477,0.096461,0.094703,,,,0.040593
rapl,cpu,float,bitonic,max,256,524288,uniform,19000413,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k256_max_uniform_s19000413_rep3_rapl.txt,0.039691,0.989298,24.924864,5.421215,0.774123,19.503649,0,rapl:package+core,0.781316,0.781316,0.021759,0.021759,0.663355782815,0.663355782815,0.816272,0.025895,0.104777,0.103166,,,,0.040593
rapl,cpu,float,bitonic,max,4096,524288,uniform,19004253,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k4096_max_uniform_s19004253_rep1_rapl.txt,0.05727,1.556728,27.182236,5.421215,1.246255,21.761021,0,rapl:package+core,1.069172,1.069172,0.036236,0.036236,0.87272885326,0.87272885326,1.259349,0.040644,0.164161,0.161836,,,,0.040593
rapl,cpu,float,bitonic,max,4096,524288,uniform,19004253,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k4096_max_uniform_s19004253_rep2_rapl.txt,0.058247,1.547131,26.561734,5.421215,1.231364,21.140519,0,rapl:package+core,1.244152,1.244152,0.036346,0.036346,1.04711251961,1.04711251961,1.304116,0.040793,0.16352,0.161156,,,,0.040593
rapl,cpu,float,bitonic,max,4096,524288,uniform,19004253,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k4096_max_uniform_s19004253_rep3_rapl.txt,0.066149,1.647941,24.912562,5.421215,1.289333,19.491347,0,rapl:package+core,1.241742,1.241742,0.042322,0.042322,1.01230533877,1.01230533877,1.343421,0.047068,0.174383,0.171698,,,,0.040593
rapl,cpu,float,bitonic,max,8,524288,uniform,19000165,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k8_max_uniform_s19000165_rep1_rapl.txt,0.02232,0.386393,17.311859,5.421215,0.265394,11.890644,0,rapl:package+core,0.158179,0.158179,0.006173,0.006173,0.124713839805,0.124713839805,0.251178,0.010212,0.031722,0.030816,,,,0.040593
rapl,cpu,float,bitonic,max,8,524288,uniform,19000165,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k8_max_uniform_s19000165_rep2_rapl.txt,0.024534,0.404246,16.47714,5.421215,0.271243,11.055925,0,rapl:package+core,0.166481,0.166481,0.006533,0.006533,0.131064202405,0.131064202405,0.262697,0.011958,0.035368,0.034372,,,,0.040593
rapl,cpu,float,bitonic,max,8,524288,uniform,19000165,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q19_k8_max_uniform_s19000165_rep3_rapl.txt,0.022699,0.405435,17.861455,5.421215,0.282379,12.44024,0,rapl:package+core,0.153022,0.153022,0.006295,0.006295,0.118895451575,0.118895451575,0.236911,0.0104,0.036513,0.035592,,,,0.040593
